Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
2017,1/6/2017 18:57,81000,United States,Not Asked,Microsoft SQL Server,6,,Full time employee,DBA,No,2,Not Asked,5,Not Asked,70,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 19:06,87400,United States,Not Asked,Oracle,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Citrix",Full time employee,DBA,No,7,Not Asked,4,Not Asked,50,Masters,No,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 19:09,108000,United States,Not Asked,Microsoft SQL Server,7,"Oracle, Microsoft Access",Full time employee,DBA,No,4,Not Asked,3,Not Asked,100,Bachelors (4 years),Yes,"Yes, but they expired",40,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 19:39,25000,Argentina,Not Asked,Microsoft SQL Server,5,"MySQL/MariaDB, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,DBA,Yes,5,Not Asked,More than 5,Not Asked,10000,Associates (2 years),N/A,"Yes, and they're currently valid",45,3,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 19:56,300000,Australia,Not Asked,Microsoft SQL Server,7,Azure SQL DB,Full time employee,Sales,No,7,Not Asked,1,Not Asked,0,Bachelors (4 years),No,"No, I never have",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:02,61900,United States,Not Asked,Microsoft SQL Server,1,,Full time employee,DBA,No,1,Not Asked,None,Not Asked,11,Bachelors (4 years),Yes,"No, I never have",50,2,Not Asked,State/province government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:15,65000,United States,Not Asked,Microsoft SQL Server,2,"Microsoft SQL Server, Microsoft Access",Full time employee,DBA,No,2,Not Asked,None,Not Asked,3,Bachelors (4 years),No,"No, I never have",50,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:16,210000,United States,Not Asked,Microsoft SQL Server,9,Hadoop/hive/hbase ,Full time employee,DBA,Yes,2,Not Asked,None,Not Asked,300,None (no degree completed),N/A,"Yes, and they're currently valid",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:17,143000,Canada,Not Asked,PostgreSQL,16,"MySQL/MariaDB, MongoDB, Cassandra, Redis, Elasticsearch, Neo4J",Full time employee,Engineer,No,1,Not Asked,3,Not Asked,2000,Bachelors (4 years),Yes,"No, I never have",40,5 or more,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:19,115000,United States,Not Asked,Microsoft SQL Server,12,"MySQL/MariaDB, DB2, Microsoft Access",Full time employee,Architect,Yes,3,Not Asked,None,Not Asked,10,Masters,No,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:23,142000,United States,Not Asked,Microsoft SQL Server,19,"Oracle, Microsoft Access",Full time employee,Developer: T-SQL,No,3,Not Asked,None,Not Asked,4,Associates (2 years),Yes,"Yes, and they're currently valid",38,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:34,220000,United States,Not Asked,Microsoft SQL Server,18,"Microsoft SQL Server, MySQL/MariaDB, MongoDB, Redis, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Manager,Yes,8,Not Asked,None,Not Asked,900,Associates (2 years),N/A,"Yes, and they're currently valid",50,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:38,11000,India,Not Asked,Microsoft SQL Server,5,MySQL/MariaDB,Full time employee,DBA,No,5,Not Asked,4,Not Asked,300,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:44,175000,United States,Not Asked,Microsoft SQL Server,15,"Oracle, Cassandra, Microsoft Access, Azure SQL DB",Full time employee of a consulting/contracting company,Manager,Yes,3,Not Asked,None,Not Asked,40,None (no degree completed),N/A,"Yes, but they expired",50,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:53,180000,United States,Not Asked,Microsoft SQL Server,17,Azure SQL DB,Full time employee,Architect,No,14,Not Asked,More than 5,Not Asked,20,Bachelors (4 years),No,"Yes, and they're currently valid",60,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 20:55,85900,United States,Not Asked,Microsoft SQL Server,6,"Oracle, MySQL/MariaDB, DB2, Microsoft Access, Amazon RDS (any flavor), Sybase",Full time employee of a consulting/contracting company,DBA,No,2,Not Asked,1,Not Asked,9,None (no degree completed),N/A,"No, I never have",42,1,Not Asked,Federal government,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 21:11,123000,United States,Not Asked,Microsoft SQL Server,10,Microsoft SQL Server,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,2,Not Asked,3,Not Asked,3,Bachelors (4 years),No,"Yes, and they're currently valid",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 21:37,102000,United States,Not Asked,Microsoft SQL Server,15,"Oracle, PostgreSQL, MongoDB, DB2, Teradata, Hadoop",Full time employee,Data Scientist,Yes,3,Not Asked,None,Not Asked,10,Masters,No,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 21:41,160000,United States,Not Asked,Microsoft SQL Server,17,Azure SQL DB,Full time employee,Engineer,No,2,Not Asked,None,Not Asked,20,Masters,Yes,"No, I never have",40,4,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 21:44,127000,United States,Not Asked,Microsoft SQL Server,13,"Microsoft SQL Server, Redis, SQLite, Elasticsearch",Full time employee,Engineer,No,2,Not Asked,More than 5,Not Asked,20,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 22:08,118000,United States,Not Asked,Microsoft SQL Server,6,"Microsoft SQL Server, Oracle, MySQL/MariaDB",Full time employee,DBA,No,6,Not Asked,None,Not Asked,10,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 22:16,55300,United Kingdom,Not Asked,Microsoft SQL Server,13,"MySQL/MariaDB, PostgreSQL, Ingres",Full time employee,DBA,No,3,Not Asked,1,Not Asked,10,Masters,No,"No, I never have",50,1,Not Asked,Local government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 22:17,101000,United States,Not Asked,Microsoft SQL Server,21,"Microsoft SQL Server, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)",Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",No,21,Not Asked,More than 5,Not Asked,50,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 22:21,55700,New Zealand,Not Asked,Microsoft SQL Server,10,"Microsoft SQL Server, Oracle, Microsoft Access, SQLite, Sybase",Full time employee,DBA / BI Developer,No,6,Not Asked,2,Not Asked,10,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Local government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 22:58,60000,United States,Not Asked,PostgreSQL,2,Microsoft SQL Server,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,2,Not Asked,2,Not Asked,10,Associates (2 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:02,112000,Canada,Not Asked,MongoDB,1,"MongoDB, Redis, Elasticsearch",Full time employee,Engineer,No,1,Not Asked,3,Not Asked,300,Bachelors (4 years),Yes,"No, I never have",35,5 or more,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:03,83000,United States,Not Asked,Microsoft SQL Server,4,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,4,Not Asked,2,Not Asked,3,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:18,60000,Canada,Not Asked,Microsoft SQL Server,6,Oracle,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,Not Asked,More than 5,Not Asked,10,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:20,126800,United States,Not Asked,Microsoft SQL Server,20,,Full time employee,DBA,No,15,Not Asked,None,Not Asked,25,Bachelors (4 years),Yes,"No, I never have",40,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:35,104000,United States,Not Asked,Microsoft SQL Server,8,"Oracle, DB2",Full time employee,DBA,No,8,Not Asked,4,Not Asked,600,Bachelors (4 years),Yes,"No, I never have",42,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:50,137000,Canada,Not Asked,Microsoft SQL Server,10,Azure SQL DB,Full time employee,Architect,No,1,Not Asked,More than 5,Not Asked,0,Masters,Yes,"Yes, and they're currently valid",40,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:52,60000,United States,Not Asked,Microsoft SQL Server,3,"Oracle, Microsoft Access",Full time employee,Developer: T-SQL,No,3,Not Asked,None,Not Asked,5,None (no degree completed),N/A,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Not Asked,State/province government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/6/2017 23:54,115000,United States,Not Asked,Microsoft SQL Server,8,"Microsoft SQL Server, Microsoft Access, Elasticsearch",Full time employee,Manager,Yes,4,Not Asked,More than 5,Not Asked,6,None (no degree completed),N/A,"No, I never have",50,3,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 0:03,25000,United States,Not Asked,Microsoft SQL Server,2,"Oracle, Microsoft Access",Full time employee of a consulting/contracting company,DBA,No,2,Not Asked,1,Not Asked,100,Associates (2 years),Yes,"No, I never have",22,"None, or less than 1 day per week",Not Asked,Local government,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 0:05,105000,United States,Not Asked,Microsoft SQL Server,7,,Full time employee,DBA,No,7,Not Asked,3,Not Asked,180,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 0:15,102000,Denmark,Not Asked,Microsoft SQL Server,9,"Microsoft SQL Server, MongoDB, Azure SQL DB",Full time employee,DBA,No,0,Not Asked,None,Not Asked,100,Associates (2 years),Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 0:20,112500,United States,Not Asked,Microsoft SQL Server,10,"Microsoft SQL Server, Microsoft Access, SQLite",Full time employee,Manager,Yes,2,Not Asked,1,Not Asked,20,None (no degree completed),N/A,"No, I never have",48,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 0:57,92000,United States,Not Asked,Microsoft SQL Server,14,"Microsoft SQL Server, Amazon RDS (any flavor)",Full time employee,DBA,No,4,Not Asked,None,Not Asked,30,None (no degree completed),N/A,"Yes, and they're currently valid",35,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 1:35,120000,United States,Not Asked,Microsoft SQL Server,10,"Microsoft SQL Server, Redis, Amazon RDS (any flavor)",Full time employee,Architect,No,4,Not Asked,3,Not Asked,300,Associates (2 years),Yes,"Yes, but they expired",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 1:46,40500,United Kingdom,Not Asked,Microsoft SQL Server,2,,Full time employee,Developer: T-SQL,No,1,Not Asked,2,Not Asked,8,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 1:47,30500,Lithuania,Not Asked,Microsoft SQL Server,5,"Oracle, MySQL/MariaDB",Full time employee,Developer: T-SQL,No,3,Not Asked,1,Not Asked,12,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 1:48,62000,United States,Not Asked,Microsoft SQL Server,3,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, SQLite, Azure SQL DB",Full time employee,Architect,No,3,Not Asked,2,Not Asked,10,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,State/province government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 2:06,13455,India,Not Asked,Microsoft SQL Server,8,"Microsoft SQL Server, Azure SQL DB",Full time employee,DBA,Yes,8,Not Asked,2,Not Asked,25,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 2:21,18200,Poland,Not Asked,Microsoft SQL Server,6,,Full time employee,DBA,Yes,6,Not Asked,1,Not Asked,50,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 2:29,20000,Portugal,Not Asked,Microsoft SQL Server,18,"MySQL/MariaDB, PostgreSQL, Elasticsearch, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,DBA,No,5,Not Asked,None,Not Asked,3,Masters,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 3:10,61475,Guernsey,Not Asked,Microsoft SQL Server,9,MySQL/MariaDB,Full time employee,DBA,No,9,Not Asked,None,Not Asked,70,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 3:32,37000,United Kingdom,Not Asked,Microsoft SQL Server,3,"Microsoft SQL Server, PostgreSQL, SAP",Full time employee,Analyst,No,3,Not Asked,None,Not Asked,3,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 3:32,85000,Hong Kong,Not Asked,Microsoft SQL Server,8,,Full time employee,DBA,Yes,2,Not Asked,None,Not Asked,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 3:49,43000,Spain,Not Asked,Microsoft SQL Server,10,"Microsoft SQL Server, Oracle, PostgreSQL, DB2, Microsoft Access, Redis, SQLite, Azure SQL DB",Full time employee of a consulting/contracting company,Architect,No,10,Not Asked,3,Not Asked,100,Masters,Yes,"Yes, and they're currently valid",50,3,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 3:51,71300,United Kingdom,Not Asked,Microsoft SQL Server,7,Microsoft SQL Server,Full time employee,DBA,Yes,1,Not Asked,1,Not Asked,15,Associates (2 years),Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 4:10,48000,India,Not Asked,Microsoft SQL Server,12,"Microsoft SQL Server, Azure SQL DB",Full time employee,DBA,No,4,Not Asked,3,Not Asked,40000,Bachelors (4 years),Yes,"No, I never have",60,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 4:36,38000,Israel,Not Asked,Microsoft SQL Server,2,"MySQL/MariaDB, MongoDB",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,2,Not Asked,1,Not Asked,2,Bachelors (4 years),Yes,"No, I never have",43,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 4:57,68000,United States,Not Asked,Microsoft SQL Server,2,"Microsoft SQL Server, Teradata",Full time employee,Analyst,No,2,Not Asked,3,Not Asked,5,Bachelors (4 years),No,"No, I never have",40,1,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 4:58,135000,United States,Not Asked,Other,20,"Microsoft SQL Server, Amazon RDS (any flavor)",Full time employee,DBA,Yes,20,Not Asked,More than 5,Not Asked,60,Associates (2 years),No,"Yes, but they expired",40,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 5:47,130000,United States,Not Asked,Microsoft SQL Server,20,"Microsoft SQL Server, Oracle, DB2, Microsoft Access, Teradata",Full time employee,Architect,Yes,3,Not Asked,None,Not Asked,10,Masters,No,"No, I never have",60,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 5:50,93000,United States,Not Asked,Microsoft SQL Server,11,MySQL/MariaDB,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,6,Not Asked,2,Not Asked,6,Associates (2 years),No,"Yes, but they expired",35,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 6:02,69000,United Kingdom,Not Asked,Microsoft SQL Server,10,Azure SQL DB,Full time employee,DBA,No,1,Not Asked,1,Not Asked,10,Bachelors (4 years),Yes,"Yes, but they expired",38,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 6:03,130000,United Kingdom,Not Asked,Microsoft SQL Server,7,Sybase (only with a gun to my head),Full time employee,DBA,No,7,Not Asked,None,Not Asked,300,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 6:17,107000,United States,Not Asked,Microsoft SQL Server,12,Azure SQL DB,Full time employee,Manager,Yes,2,Not Asked,More than 5,Not Asked,70,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:06,52000,United States,Not Asked,Microsoft SQL Server,2,,Full time employee,Developer: T-SQL,No,2,Not Asked,2,Not Asked,8,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:10,105000,United States,Not Asked,Microsoft SQL Server,15,Azure SQL DB,Full time employee,Manager,Yes,15,Not Asked,2,Not Asked,5,Masters,Yes,"No, I never have",40,2,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:12,100000,United States,Not Asked,Microsoft SQL Server,4,Microsoft Access,Full time employee,DBA,Yes,2,Not Asked,None,Not Asked,12,Bachelors (4 years),No,"No, I never have",50,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:15,39566,Russia,Not Asked,Microsoft SQL Server,11,Vertica,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,8,Not Asked,More than 5,Not Asked,10,Masters,Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:16,63000,United States,Not Asked,Microsoft SQL Server,2,Microsoft Access,Full time employee,Analyst,No,3,Not Asked,1,Not Asked,5,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:31,115000,United States,Not Asked,Microsoft SQL Server,14,"Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Engineer,No,2,Not Asked,More than 5,Not Asked,10,Bachelors (4 years),Yes,"No, I never have",42,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:49,90000,Germany,Not Asked,Microsoft SQL Server,15,"Microsoft SQL Server, Microsoft Access",Full time employee,Engineer,No,1,Not Asked,3,Not Asked,900,None (no degree completed),N/A,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:51,140000,Germany,Not Asked,Microsoft SQL Server,22,"Microsoft SQL Server, Oracle, DB2",Independent or freelancer or company owner,Architect,No,10,Not Asked,1,Not Asked,200,Masters,Yes,"Yes, and they're currently valid",41,"None, or less than 1 day per week",Not Asked,Federal government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 7:58,109000,United States,Not Asked,Oracle,9,Microsoft SQL Server,Full time employee of a consulting/contracting company,DBA,No,9,Not Asked,1,Not Asked,18,Masters,Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Federal government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 8:17,74000,United Kingdom,Not Asked,Microsoft SQL Server,11,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,2,Not Asked,2,Not Asked,4,Masters,Yes,"No, I never have",40,1,Not Asked,State/province government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 8:19,106000,United States,Not Asked,Microsoft SQL Server,4,"Microsoft SQL Server, MongoDB, SAP",Full time employee,DBA,Yes,1,Not Asked,More than 5,Not Asked,500,Bachelors (4 years),Yes,"Yes, but they expired",55,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 8:23,196000,United States,Not Asked,Microsoft SQL Server,18,,Independent or freelancer or company owner,Architect,Yes,10,Not Asked,None,Not Asked,200,Masters,Yes,"Yes, but they expired",55,5 or more,Not Asked,Federal government,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 8:39,122000,United States,Not Asked,Microsoft SQL Server,20,"Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)",Full time employee,Sr Consultant ,No,0,Not Asked,More than 5,Not Asked,1000,Bachelors (4 years),No,"Yes, and they're currently valid",40,5 or more,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 8:57,86000,United States,Not Asked,Microsoft SQL Server,3,,Full time employee,Systems Administrator,No,2,Not Asked,None,Not Asked,60,Masters,No,"Yes, but they expired",42,"None, or less than 1 day per week",Not Asked,State/province government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:03,170000,United States,Not Asked,Microsoft SQL Server,10,Oracle,Full time employee,DBA,No,2,Not Asked,1,Not Asked,50,None (no degree completed),No,"Yes, but they expired",50,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:04,95000,United States,Not Asked,Microsoft SQL Server,8,,Full time employee,Architect,No,4,Not Asked,None,Not Asked,4,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:07,105000,United States,Not Asked,Microsoft SQL Server,4,"Microsoft SQL Server, PostgreSQL, Microsoft Access, Azure SQL DB",Full time employee,Architect,No,2,Not Asked,1,Not Asked,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:08,98000,United States,Not Asked,Microsoft SQL Server,5,"Microsoft SQL Server, Oracle, PostgreSQL, rdb",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,5,Not Asked,None,Not Asked,80,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:17,135000,United Kingdom,Not Asked,Microsoft SQL Server,15,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, SAP",Full time employee,DBA,No,4,Not Asked,1,Not Asked,75,Associates (2 years),Yes,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:23,61000,United States,Not Asked,Microsoft SQL Server,2,"Microsoft SQL Server, Microsoft Access, SAP",Full time employee,Analytics consultant,No,2,Not Asked,More than 5,Not Asked,28,Bachelors (4 years),No,"No, I never have",45,5 or more,Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
2017,1/7/2017 9:32,73000,Canada,Not Asked,Microsoft SQL Server,9,"Microsoft SQL Server, Microsoft Access",Full time employee,DBA,No,5,Not Asked,1,Not Asked,9,Associates (2 years),Yes,"No, I never have",35,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
